# Tetris Block Shapes Data
# Format: BlockType:Rotation (0-3):Row0,Row1,Row2,Row3
# 0 = empty, 1 = filled
# Block Types: I=0, O=1, T=2, S=3, Z=4, J=5, L=6

# I Block (Line)
I:0:0000,1111,0000,0000
I:1:0100,0100,0100,0100
I:2:0000,0000,1111,0000
I:3:0010,0010,0010,0010

# O Block (Square)
O:0:0000,0110,0110,0000
O:1:0000,0110,0110,0000
O:2:0000,0110,0110,0000
O:3:0000,0110,0110,0000

# T Block
T:0:0000,0100,1110,0000
T:1:0000,0100,0110,0100
T:2:0000,0000,1110,0100
T:3:0000,0100,1100,0100

# S Block
S:0:0000,0110,1100,0000
S:1:0000,0100,0110,0010
S:2:0000,0000,0110,1100
S:3:0000,1000,1100,0100

# Z Block
Z:0:0000,1100,0110,0000
Z:1:0000,0010,0110,0100
Z:2:0000,0000,1100,0110
Z:3:0000,0100,1100,1000

# J Block
J:0:0000,1000,1110,0000
J:1:0000,0110,0100,0100
J:2:0000,0000,1110,0010
J:3:0000,0100,0100,1100

# L Block
L:0:0000,0010,1110,0000
L:1:0000,0100,0100,0110
L:2:0000,0000,1110,1000
L:3:0000,1100,0100,0100
